run_id,sketch_id,sketch_author,identity_features,model,model_version,generation_date,attempt,prompt_type,motion_instruction,prompt_context,duration_requested,duration_actual,generation_time_seconds,generation_success,core_identity,defining_feature_preservation,anatomy_preservation,personality_preservation,color_visual_signature,transformation_quality,scene_integration,motion_quality,hallucination_control,thats_my_character,layer_a_identity_pass,layer_b_magic_score,semantic_replacement,hard_failure_type,author_reaction,evaluator_notes,result_status
S01-VEO31-B1,S01,,,Veo 3.1,,,1,BASELINE,looks around; small body movement,neutral / none,,,,,,,,,,,,,,,,,,,,,
S01-RUNWAY45-B1,S01,,,Runway Gen-4.5,,,1,BASELINE,looks around; small body movement,neutral / none,,,,,,,,,,,,,,,,,,,,,
S01-SEEDANCE25-B1,S01,,,Seedance 2.5,,,1,BASELINE,looks around; small body movement,neutral / none,,,,,,,,,,,,,,,,,,,,,
S02-VEO31-B1,S02,,,Veo 3.1,,,1,BASELINE,two awkward steps; reacts to camera; keep abnormal anatomy,neutral / none,,,,,,,,,,,,,,,,,,,,,
S02-RUNWAY45-B1,S02,,,Runway Gen-4.5,,,1,BASELINE,two awkward steps; reacts to camera; keep abnormal anatomy,neutral / none,,,,,,,,,,,,,,,,,,,,,
S02-SEEDANCE25-B1,S02,,,Seedance 2.5,,,1,BASELINE,two awkward steps; reacts to camera; keep abnormal anatomy,neutral / none,,,,,,,,,,,,,,,,,,,,,
S03-VEO31-B1,S03,,,Veo 3.1,,,1,BASELINE,one slow bite of the pizza,plate or table,,,,,,,,,,,,,,,,,,,,,
S03-RUNWAY45-B1,S03,,,Runway Gen-4.5,,,1,BASELINE,one slow bite of the pizza,plate or table,,,,,,,,,,,,,,,,,,,,,
S03-SEEDANCE25-B1,S03,,,Seedance 2.5,,,1,BASELINE,one slow bite of the pizza,plate or table,,,,,,,,,,,,,,,,,,,,,
S04-VEO31-B1,S04,,,Veo 3.1,,,1,BASELINE,floats slightly; one bite; subtle background motion,space,,,,,,,,,,,,,,,,,,,,,
S04-RUNWAY45-B1,S04,,,Runway Gen-4.5,,,1,BASELINE,floats slightly; one bite; subtle background motion,space,,,,,,,,,,,,,,,,,,,,,
S04-SEEDANCE25-B1,S04,,,Seedance 2.5,,,1,BASELINE,floats slightly; one bite; subtle background motion,space,,,,,,,,,,,,,,,,,,,,,
S05-VEO31-B1,S05,,,Veo 3.1,,,1,BASELINE,waves one arm or one simple step,neutral / none,,,,,,,,,,,,,,,,,,,,,
S05-RUNWAY45-B1,S05,,,Runway Gen-4.5,,,1,BASELINE,waves one arm or one simple step,neutral / none,,,,,,,,,,,,,,,,,,,,,
S05-SEEDANCE25-B1,S05,,,Seedance 2.5,,,1,BASELINE,waves one arm or one simple step,neutral / none,,,,,,,,,,,,,,,,,,,,,
S06-VEO31-B1,S06,,,Veo 3.1,,,1,BASELINE,animate the player's unusual interpretation; do not normalize,player's unconventional scene,,,,,,,,,,,,,,,,,,,,,
S06-RUNWAY45-B1,S06,,,Runway Gen-4.5,,,1,BASELINE,animate the player's unusual interpretation; do not normalize,player's unconventional scene,,,,,,,,,,,,,,,,,,,,,
S06-SEEDANCE25-B1,S06,,,Seedance 2.5,,,1,BASELINE,animate the player's unusual interpretation; do not normalize,player's unconventional scene,,,,,,,,,,,,,,,,,,,,,
